"rank","time","help","text"
"力荐","2018-01-28","11204","“你看，这个孩子好懂事啊。”“你怎么知道她是不是害怕、沉默、妥协呢？”"
"力荐","2016-09-02","8650","原来我们都是这样长大的……或者说，如果没有共鸣，你知不知道你有多幸运……"
"力荐","2014-02-19","4540","我之所以坚决认为不该要孩子，没有别的原因，仅仅是因为我实在没有把握让一个充满灵气的生命不被“成长”为一个认为《时间简史》只是给孩子看的、用一个谎言去圆另一个谎言的大人。PS：这应该就是今年你能看到的最好的华语电影"
"还行","2013-10-16","4335","狗是引题，13是成长，狗B是伪善的成人世界。家长不知教育孩子的根本，而拿狗出气，这就是中国式教育的最大问题。新狗代替老狗去死，女孩意识到狗狗回来受罪不如在外人那好吃好伺候着，这是她向成人世界的妥协也是她逐渐迈向成人的成长。"
"力荐","2018-02-21","3896","李玩的名字是胡乱取的，弟弟的名字是认真取的，因为“男孩的名字不能太随便了”。 继母随便找只狗来敷衍李玩，爸爸还强迫她承认这就是爱因斯坦。 是继母买来了新狗，也是继母要把新狗卖了。狗只是畜生，利用完了就可以扔了。 李玩推倒了爷爷，遭到了爸爸的暴打；弟弟打了奶奶，爸爸却反过来哄弟弟。 弟弟挑衅新狗在先，爸爸却去打新狗。 李玩永远是错的，弟弟永远是对的。 于是，李玩变得“成熟懂事”了，她会不让爸爸难堪，忍痛吃狗肉；她会为了不让爱因斯坦跟她受苦，忍痛离开。 但我还是想念最真实的她，希望她能做回自己。 我们人人都是李玩，被生活磨平了棱角，失去了个性，扔掉了脾气，忘记了初心，还美其名曰“这就是成长”。 我们“提高了”情商，“学会了”做违心的事，说违心的话，再也不遵循自己的内心。 狗永远是狗，人有时却不是人。"
"推荐","2018-12-02","3016","这毕竟还是大城市的较为体面的家庭的故事了，女孩要在父亲面前挑衅地吹啤酒瓶才会挨一顿打，打完还能得到道歉与补偿。在我们十八线小城市的版本里，女孩准备出门找狗的时候就已经可以赢得两记耳光了，没有发出尖叫的机会，没有摔门摔碗的机会，只能把头深深地埋进被窝里无声哭一场，第二天起来，就长大了。"
"推荐","2018-12-05","1412","真的会去看这本电影的观众，其实都没有去看的必要，所有的剧情他们都知道，所有的后来他们都正在写下，他们是观众是演员是这本电影和生活的预言家。但是需要看这本电影的那些人，可能永远不会看到这本电影。"
"推荐","2018-01-27","1251","每一场成长都是凶杀案，或者说，这块土地上没有成长只有阉割。最后少女终于知道让心爱的狗留在身边是危险的，这就是我们的生存法则，越早领悟越少挣扎越少伤害，恨，恨带来安全、稳固和强大。我们生活在“恨和国”里。"
"推荐","2013-10-07","978","千言万语、含蓄用力、直白或有寓意，其实就一句粗口：XX。有些地方挺狠的，女性观众很容易会看哭吧。当动物不再凶猛，温良而顺从，这个国度那套深入到骨髓的，父权威严不可抗的教育方式，已经被吸收消化了。"
"推荐","2018-12-04","850","9分。太真实、太熟悉、太多似曾相识。本片与常规青春片最大的不同是：不煽情、不抓马。对待不公平的做法是不争取，不呐喊，而是让角色去接受：好吧、算了吧、就这样吧。。。一直在放弃，一直在退让，这就是长大，就是懂事了。这样反而更让人想哭。因为，这太像我们一路成长经历过的那些。所以，会哭不是因为感动，而是难过，是对一切都无能为力之后，因无奈而难过。更令人无奈的是，这一切，似乎都是无解的。家长的教育观是潜移默化的，我们这一代又一代，都是这么长大的，被磨平棱角的孩子，长大后，变成懂事的大人，然后，帮着下一代懂事。"
"力荐","2013-10-17","816","5.0。1.狗B！2.世俗的驯化就像一把隐形匕首，甚至连局外人都不放过。3.李玩这样的少女角色，难得一见。4.飞进教室的原来不是猫头鹰，是蝙蝠。5.没有利用平行宇宙故作高端，真好。6.残酷收尾：学不会滑冰的弟弟。7.配乐大好，情绪渲染让人泣泪。8.年度十佳。"
"推荐","2013-12-19","666","女孩拒^狗，女孩接受狗；女孩失去狗，女孩同情狗；女孩背叛狗，女孩不再要狗。――“@拥氖虑橐葬徇有很多。”"
"力荐","2014-04-27","620","极好的独立电影。片名既是少女被驯化的成长悲剧，也是一句粗口：骂的是中国父性权威和教育体制。少女从养狗丢狗寻狗，到最后平静地吃狗肉还说谢谢，《狗13》以此记录了后革命时代叛逆主体消失的全过程。老师打死蝙蝠段落尤其妙。"
"很差","2018-05-04","741","羡慕你们真能看得下去，还如此盛赞"
"推荐","2018-04-11","607","所以知道少女在电影中堕胎或车祸是有多幸福了吧？"
"较差","2018-12-05","694","个人觉得评分虚高，虽然导演想轻描淡写的表现出青春的伤痕，可是个人觉得女主没有那么惨啊，奶奶全家和爸爸为了怕她伤心吗还是很全里维护的，爸爸确实做的不对，可是不是那种恶意的，是爸爸的性格导致的，确实体现了中国式教育的问题，可这并不是真正的青春成长伤痕。"
"推荐","2013-10-17","438","爸爸的一顿痛打之后，她成熟了…所有的叛逆神经在那一刻断了弦，成人世界的冷暖看在眼里、忍在心里，什么时候咽得下那口泪，什么时候才是真正的成长。《李米的猜想》就很喜欢，这一部更有力，前面觉得多大点事的小格局到结尾又是醍醐灌顶的开朗，导演功力了得。“再回首，恍然如梦，再回首，我心依旧”"
"推荐","2018-02-02","453","让我看到了国产片中最好的家长打孩子段落"
"较差","2018-02-10","438","宠物丢失、宴席上听某总扯淡、因为一个小孩被家人遗忘…这些剧情我都经历过，女主想的我也都想过。但恕我直言，因为这些成人世界应有的游戏规则而表现出一副苦大仇深的样子，不是它们有多坏，而是你有多软。片中发生的所有“坏”事都是此时此地人之常情，以此来暗喻“成长/反抗”是很幼稚的。音乐嘈杂"
"推荐","2013-10-11","383","牛奶换红酒，旱冰变刀冰，成长中总有我们学不会的东西。"
"还行","2018-12-08","404","1.一点都没看出李玩的青春成长哪里“残酷”“暴力”，也完全没看出什么重男轻女。她的父亲努力平衡两个家庭，小心翼翼讨女儿欢心，还要怎么样呢？我们这代人遇到的真正残暴的父母太多了，殴打的时候可不是影片中那样象征性的殴打啊，谁不是从这屋踹到那屋，从楼上打到楼下。爷爷奶奶对她也足够疼爱有加了，说名字随意，给弟弟好好起名，不过就是老人那么一说，故事里真看不出任何男女有别。就算有别，也是因为李玩大了，弟弟还小。这人之常情。2.用狗喻人不新，但要喻准，这里就不准。狗丢了之后，一家人都很自责，还要如何？没看出冷酷和冷漠啊。李玩疯癫一样，推搡疼她又内疚不已的爷爷，这算少女被受伤害的青春？我觉得爷爷奶奶和爸爸受伤也不浅啊。3.关于父亲宴席上的喝酒和狗肉，可笑的成年人描绘很好，但那时父亲应酬，无奈而已，狗肉就更做作"
"较差","2018-11-23","400","现实中碰到这种吼叫女孩，我不会在乎她的故事可能存在的电影感，她捉襟见肘的生活智慧不匹配她的善。"
"较差","2018-12-05","388","用上了吃奶的劲也没讲出什么大道理，典型的小题大做，故作深刻。人物之间的冲突都是因为一方明显的过错造成，很是无聊。隐喻极端笨拙。"
"推荐","2015-05-17","317","我们曾经有过不错的“青春”片传统，包括《站台》《十七岁的单车》《十三颗泡桐》等以来的当代成长类型，他们都有着观众可以切身体验到的阵痛感，而《狗13》《我的影子在奔跑》甚至《万箭穿心》等也都难得地继承了这样的传统。IP视频或许能留存数据，但电影史会记载作品。"
"推荐","2018-03-04","362","李玩的父亲倒不是一个彻底无可救药的父亲，他一次次流泪和不耐烦的嘶吼背后都是一个成人的不易，成长的残酷在于：承担着不易的大人，会用他们早习惯的冷漠和嘶吼，无情地让孩子来共同分担。可能就是那么不经意的一次伤害，那个任性的小女孩就再也不哭、懂事了，成为了狗B世界的一个分子。"
"推荐","2013-11-15","300","No Country for The Youths."
"推荐","2018-01-28","273","是少女寂寞的十三岁，是我们永远不知道为什么总不快乐的十三岁，是像狗一样被驯化的十三岁，是一代又一代人重复的、失去童真童趣童心、变得世俗起来的十三岁。孔雀从此被关进笼子里供人观赏，游鱼从此被封闭在水箱中给人参观，狗从此被牵在漂亮的皮绳里乖顺地躺下来，少年从此长成衣冠楚楚的合格的大人。但更叫人沮丧的是，那些原本暗潮涌动的年轻人长成庸碌的中年人之后，最终也会转过身去驯化下一代。"
"较差","2015-04-25","291","意象冗余，时空错乱。编剧妹妹有可能在回望青春时代的自己，顾影自怜。但导演大叔一心一意想让这幻象少女扼住现实主义的咽喉。这两个人之间隔了一道鸿沟，生理上讲，叫代沟。"
"力荐","2016-08-10","273","这几年被国产糖水青春片伤害的心灵终于得到了抚慰。有几场戏特别灵，从爸爸发火一场开始飙泪。那些敏感的岁月在眼前重现，有种劫后余生的感觉。长大真难啊，如果变成大人就是长大的话。喜欢。"
"推荐","2013-10-11","235","中国的小朋友啊过得像条狗。演员和摄影都很不错，但前半部分表现得直白过头，有点假得不舒服，被过度消费的相对论啊平行宇宙啊还有涅盘啊更是让人难以接受。不过，妹子大哭完之后，开始残酷青春了，故事内敛起来，情绪表达就很到位了"
"很差","2018-03-26","282","拍的还好，就是主旨弱了点，没什么意思，无病呻吟不得精髓，啥玩意啊，你小孩子就纯真美好了？不就是这世界伺候不好你让你不开心了吗？教育的缺点？拉倒吧，全世界那里的教育不是沦落为统治者更好的韭菜，不就是当韭菜当的不开心了吗？"
"力荐","2018-01-27","212","可能是近十年最好的国产青春片。少女李玩之烦恼，是中国式家庭教育的困局，成长的代价是对庸常社会的妥协，是对油腻中年大叔的谄媚，是对这个狗B一样的世界的被动和解。无论是狗，还是十三岁的少女，都在被驯化变得温顺。中国人说，她成熟了，长大了，懂事了，但是背后却透露着失去自我的精神枷锁，这更痛苦"
"力荐","2018-03-23","235","当李玩发现那只快乐的小鸟只不过是一个正在被送往救护车里的精神病人时，她一定是明白了这个世界的美好与自由只存在于疯子的臆想世界里。一只狗和一个13岁的孩子最后也注定在这个伪善的世界里成长为一个狗B。"
"推荐","2018-11-06","240","她爸终于暴揍她一顿，很解气"
"较差","2018-08-26","218","冲着八点几分来看下，结果大失所望。耐着性子看了二十几分钟完全不知所谓，果断弃了。这样的烂片居然有8.7分，只能说中国的观众欣赏水片太低。"
"很差","2018-11-15","184","什么垃圾片啊，居然8.5，太tmd垃圾了。平淡不说，教育方式我也并没觉得有什么问题。家有儿女的自然理解，不要去无病呻吟了。"
"推荐","2013-11-16","144","这部电影就是那个敏感小气的女编剧，长大后回首青春期，然后射向父母的暴虐毒箭。全片有最少三个段落极其棒，但牛逼的才气都被小心思堵死了。三星半。"
"很差","2018-12-05","164","实在看不懂这片子想要表达什么，感觉是编剧和导演的理解完全不同，抽离出故事和导演的表达让我感觉在看两部电影。如果说在讽刺成长过程中孩子对成人世界的妥协，反而觉得片中的爷爷奶奶爸爸妥协的更多。你们的青春期都这么阴郁敏感吗？女主让我觉得比所谓成年世界那拨人更狗13"
"推荐","2013-11-15","164","我也家庭破碎，我也痛失爱犬。影片的结尾，李玩向成人世界妥协，向过去告别，最终进入了充满欺骗、虚伪、谎言的成人世界。而我，因为对人性的巨大失望，永远不会向成人世界妥协。我只是避开。人纵有一死，没有必要争什么。亲情也好，爱情也罢，这世上没有一样感情完全属于你，没有一样感情不千疮百孔。"
"推荐","2013-11-15","111","三星半。五年前在北电金字奖上看的这部电影，那年他们的大明星是鲍鲸鲸。它本是一个骨缝藏刀的自省的故事，但前三分之一铺陈以及结尾的一些段落太造作，严重倒胃。从爷爷推门暴怒开始全片进入强剧力（但爷爷此刻的做法在前后文上也说不通）。各种夸张舞台范表演把主角逼死，配乐太满放弃环境声也是一大败笔。总的来说，这是一个有着严重的少年成长阴影的编剧对他这代人的长辈进行无差别报复性创作的结果，是一团容易固步自封并且需要警惕的戾气，悲伤逆流成河。"
"很差","2018-05-22","148","为什么要浪费这么多成本，拍一个这种产品。太正常了，太普通了，谁都是这么成长过来的，熊孩子三天不打上房揭瓦，成长的代价。为什么要插段洗澡的镜头？"
"力荐","2013-10-15","108","一个时代的残酷青春，里面有我们成长道路上的亲切感和孤独感，那种没有人理解认同，还要被迫接受大人世界的无助。向往自由和理想，与人相处单纯而传统，但是都因成长而统统被洗刷掉。印象深刻的两场戏全家联手用假狗欺骗和认为弟弟应为误伤奶奶道歉。"
"推荐","2018-11-26","161","维系重组家庭的关系，想要儿子还要考虑女儿的感受，打了女儿会主动认真道歉，把咬人的狗送去收留所而不是狗肉馆，酒局上的奉承巴结，接到前妻电话时的情难自禁，你们只看到女主的成长太残酷，却忘了做一个合格的成年人原本就比做一个合格的孩子要辛苦得多。"
"还行","2014-03-04","121","小题大做，不作不死。"
"推荐","2018-01-27","135","这傻13的中国式教育，我爸可比李玩他爸狗13多了，我爸小时候打完我从没给我道过歉，看这部电影时产生了极大的共鸣和视觉回忆，那时候觉得自己快被打死了，现在回想确定被打死了，心早被打死了，在一个暴力的成长环境下长大的人你为什么要指望她能温柔的处事，从没有人教过她温柔，也没人对她温柔。"
"较差","2013-11-18","90","这是曹保平么？另外，那个编剧的女孩好得瑟啊"
"较差","2018-05-01","103","想讨论问题，请先控制好叙事节奏"
"较差","2018-12-03","98","刻意拔高立意和内涵 结果败露了自己的虚伪和平庸 成功煽情赚了大把眼泪 对中国社会问题的呈现却如隔靴搔痒 缺乏力度 连对小女孩的青春事迹和中国式家庭生活的细节描述都尴尬得让我浑身不适 有种事件是对的 但落到实处又假了的矛盾 分不清是导演的问题还是表演的问题 李玩的叛逆和缺乏对他人的理解 让所谓对成人世界扼杀童真 驯化个人意识的控诉显得缺乏立场和逻辑 如果长大成人就是体谅供你吃喝的家人 不给别人添麻烦 我看不出来这样的成长有什么值得骂一句“狗B”的 以及编剧好歹认真学点物理学知识再来冒充物理少女吧"
"很差","2018-12-05","92","矫情到这种地步 也是没谁了 一个放了5年的老片子 还出来骗观众钱……"
"推荐","2016-08-10","87","负能量巨大不想再看，要对这个社会骂句片名狗B的。中国式教育是根源，从不断暴露问题的极品家庭到学校和当下的环境风气历史从小看大，可怕的是还在继续制造循环更多出现在我们身边。剧本的刻意是缺点但讽刺甚至荒诞的变成了特点，像镜子审视每个人，由于经历不同理解起来也大不一样。成长确实就是这样慢慢失去很多东西磨平来长成别人演里的大人而且这样的事没完没了还多着呢。80后女编剧的小心思表达的有时幼稚但立意细节呼应和导演的完成度流畅性都很好还有表演。从小不要哄骗像逗傻子一样的管教小孩子，教导也要循序渐进有个尺度，不能忽冷忽热。盲探结尾还说过女孩不要太执着，那样我觉得也还是不会太好。资料馆百子湾。"
"还行","2016-08-10","85","细腻却缺乏大气，有力又稍显做作，节奏流畅叙事平滑，像是熟练运用模板压制出来的平凡之作，没有格外的缺陷或是长处，将拿捏得稍有韵味旋即戛然而止的平凡剧本平凡地演绎了出来，这也是我们青春片的一致硬伤，重于情怀而疏于昭切。有人推荐给我讲这是一部残酷青春，我只对他这粉红色的残酷一笑而过。"
"力荐","2015-07-11","89","【电影资料馆】20160618，李玩是大陆电影里少有的兼具青涩感和圆滑感的少女形象，里面有很多细节我很喜欢，比如李玩吃方便面前喜欢先挑起来凉一下，整个故事沿着一种让人不可抑制的矢量进行。变成这个世界的一部分并不恐怖，恐怖的是毫不自知。重新思考了一下，给五星是正确的"
"很差","2018-11-02","81","浪费时间，剧情生硬，演技尴尬，用力过猛"
"还行","2018-02-05","81","还是曹保平的老毛病：不合理。站在家长的角度，那么讨厌狗的话最多丢掉，怎么会非要送到狗肉店去？老头老太的表演也是完全反日常的，是保健品广告式的。还有科学展时间是06年9月，当时弟弟2周岁，那么04年他刚出生时女主怎么会在听腰乐队05年的《不哭》？应该是个bug。不过剧本的批判性还是值得肯定。"
"较差","2018-12-02","81","在电影院看完全是灾难性体验。导演为了表现人物的折磨、对立，配乐各种高频，尖锐，吵闹，而且随心所欲地在任何场合出现，两个小时弄的我想吐。另外家庭群像太尴尬，塑料感十足，忽而深情忽而冰冷没错说的就是姐姐。他妈到最后忽然出现，我一度以为男人是鳏夫再娶，刻意煽情。整个家庭浅薄、混乱、不知所云。因此即便狗和小女孩的关系颇具讽刺意味，但表达的基础太虚浮，让我反感。"
"推荐","2018-01-27","74","大岛渚说过：“无论在任何体制下，青春都是极其伤身的。”而这片试图窥伺的，正是独属于这片大陆的生存法则――像牲口般接受驯服且苟活，从原始的抵抗到彻底的顺从。“切肤的成长痛感”藉由暴烈的戏剧冲突，展览了一场青春的斩首示众。"
"还行","2013-11-15","60","听说是焦华静本科的毕业作品，稍显稚嫩，曹保平和焦华静是真爱啊，女主演技实在不怎么样"
"推荐","2018-08-08","59","这不就是传统的常见的中国式家庭教育吗？父母从来不会问儿女心里的想法，也不关心他们的选择，一切都以自我为中心，还常常美其名曰“为你好”。很庆幸，我生活在一个可以自我野蛮生长的家庭，父母对我们实行散养，当然，结果也是有好有坏。"
"较差","2016-08-11","73","延续了对曹老师所有片子都不感冒的传统。青春期叛逆少女的视角和强势的男性导演风格还是有些格格不入，三观不敢苟同，编剧非要硬塞一个必须妥协才能长大的核也是真心受不了。小姑娘与狗之前的情感构建完全不成功。剪辑太糟糕，音乐也用得太可怕，张雪迎迷之像徐娇但表演上还是有点太过了有些矫情。"
"无评价","2018-12-06","62","真实到几乎想要逃出影院。我们都是怀揣着对成年人的仇恨成长为成年人的，这是一个恐怖片。"
"还行","2018-12-08","75","吞下的猪肝会变成狗肉，咽下的果汁会变成红酒，束胸的绷带会换成胸罩，你的身体会适应一切变化。身上的文身会换新的名字，墙上的告示会换新的内容，走失的老狗会换新的主人，所有的成长都要经历阵痛。愤怒被锁进厕所，叛逆被一掌击落，看那冰面上求助的孩子，总要摔完自己站起来，才会懂得成人的代价。"
"力荐","2016-07-01","53","狗日的十三岁，狗日的青春。不管你是沉醉于平行宇宙还是拿《锵锵三人行》当背景音乐，最后都要在尊卑有序的父权社会中磨平棱角与个性，变得越来越“懂事”。“这样的事儿，以后还会有很多。”"
"还行","2018-01-27","57","饭桌上的狗肉和车里的哭泣两场戏太多余了，当然，类似琐碎多余的戏份还不少，新人编剧和老练导演搭配的长处与短板同时体现在了这部影片中。15岁就遇到了曹保平，是张雪迎的幸运，也是张雪迎的不幸。"
"推荐","2018-12-07","41","一部很扎实的国产青春片，肯定会是以后这类型的经典吧，讲一个少女被磨平棱角踏入成年人的世界。剧本在叙事上可圈可点，朝着一个明确的目的在推进，导演也没有什么野心，就是踏踏实实地讲了一个中国式的故事，虽然有些地方并不完美，但也丝毫不影响它的主题表达，很容易让年轻人产生情感上的共鸣。看片的时候我就在想，这确实是一个年轻的编剧啊，她把片中的成人世界和成人角色处理的很脸谱化，或多或少都是清一色的伪善，再看看少女最后的妥协，换做是国产青春片常用的那句矫情台词的话，就是“后来我们都长成了自己当初讨厌的那种人”，不过像【狗十三】这样要聪明一些，虽然这种年轻人的见解也没有高明到哪里去。作为中年男人看这个，有点脸红，当年确实也这么想过，只是后来发现人要复杂的多，这样的故事倒可以是一本不错的文学小说。"
"很差","2018-12-04","57","现在这个市场还能相信啥？又一部过度吹捧的片。最有演技就是爸爸打女儿那场戏了，打并不是因为爸爸口口声声爱女儿，是女儿真的作。夜深人静没有头绪地喊叫狗，一而再冲撞。最后吃狗肉，气氛凝结，一个字：吃。片尾打字幕，本片反对xxxx，就能一笔勾销中间种种打狗？？当然，从中也回忆起中学时代叛逆的自己，妥协、被驯服和自省，本片主题摆在那儿，情绪却不到位，或者说太过了。与此类比的《伯德小姐》比却它评分还要低，那是去年我的最爱之一..。"
"力荐","2018-12-09","50","我一定要当个好爹"
"推荐","2018-12-07","46","当内心成长的速度与环境远远不能相容，是谓「青春的逆与痛」，每个人必得经历的阵痛期，心怀宇宙无穷，而身缚困境泥淖，与大千世界搏斗至头破血流，方跌撞进成人黑洞；争取与妥协，得到与放手，在一次次讶异与失望中，我们终将都成为生活的俘虏。「狗」是整部片的戏眼，贯穿了少女的青春期，见证其无可奈何的挣扎，亦是全家关系架构的支点。虽仍存有戏剧化倾向，整体风格较克制，细节铺设得隐秘而惊喜，如课堂上的蝙蝠与深夜急救的仿鸟人，像是漫长灰暗青春里不经意却难忘的注脚。女主父亲像渡部笃郎，父女对手戏是我的泪点（尤其是追问父母分手理由一段），成年人的无奈与虚伪一样真切，反正我们迟早一样。"
"还行","2014-04-17","51","有5分钟吃饭的戏拍的还是不错的，前提是你能忍受长达110分钟的烂戏.2.5"
"较差","2018-11-06","47","白开水里撒了把花椒盐。人生本身就是个竭尽全力的过程。越是不停地心疼自己，就越会在不可人疼的岔路上渐行渐远，何必呢。"
"推荐","2018-12-02","32","3.5 “中国式成长”模板――记得在我从小到大的成长中，相似“养狗~杀狗”经历都有两次，体罚、灌酒更不必多说。90%的我们这代人，都是这样长大的，而女主则比90%中的90%都更会反抗、行动力更强。 但不得不说这部电影....还是太意料之中的“曹保平式”，是完全类型化的处理――不断地直白点题“论青春之死和世界之囚”，严丝合缝、精巧准确，尤其是跑去天文馆和发现真的爱因斯坦两场戏，完全把“编剧思维”放明面上，也就丧失了更多况味的可能。这种思路还是更适合去拍犯罪类型片。 个人认为其实被疯狂恶评的《宝贝儿》和这个水平相当，而且讲的也都是“不怕事”的女主对撞这个世界看似“为你好”的机制体系，结果留下伪装和伤疤。好奇为啥大家那么厌恶前者，又超喜欢《狗》呢？"
"力荐","2013-10-16","36","《十三颗泡桐》最好的国产青春，而且竟用学霸取代了不良少女，让好生差生一道展示叛逆又迟早要被驯服的荷尔蒙。树立成人世界反面形象的酒席戏，虽不能媲美杨德昌，但已经略有些《一一》的境界；而让李玩听话的那几场暴力戏，则能想到《归途列车》中的冲突爆发，能把对立到调和表现这么好，演员实在出色"
"推荐","2013-10-15","30","如履薄冰，本不是青春该有的姿态，却成了我们每个人都逃不掉的宿命。"
"较差","2018-04-03","37","每一个人长大之后就忘记自己小时候了，导演和编剧也一样，所以关于十三岁女孩的刻画细节严重缺失，节奏跳跃情绪过渡突兀，只有狗子演技在线。另外，在青春片里塞满说教和方言令人大倒胃口。油腻中年汉子说故事水平白烂之外剪辑也不好。唯选材和道具可圈可点。"
"很差","2018-12-08","43","你妈，豆瓣能不能有点节操。被无名之辈骗了就算了。一部13年的片子还要故技重施，恶不恶心。"
"较差","2018-03-05","38","剪辑是灾难。"
"还行","2018-11-30","33","可能每个人的青春成长过程中，都面临各种“痛”。但这部电影里，对“痛”的呈现，过于表面，或者过于功能化，重男轻女、虚伪成人、人比拟成狗……我没法接受（这些符号化、标签化的呈现方式）。它加重了我的压抑，整个观影过程无比烦躁。"
"推荐","2018-12-08","19","【B】非常完整呈现了扭曲的中式教育观：畜牲式教育。只在乎儿女有没有吃饱，身体健不健康，在这方面，一点小伤能让所有人如临大敌。但个人欲求？心理健康？没人在乎，反正小孩子什么也不懂，像养狗那样哄骗打骂，最后他们也就“懂事”了。不过不是很喜欢曹保平的导演方法，与其说是叙事，不如说是把事件像一块块石头一样堆在一起，虽然激烈和骇人程度很高，但也因此欠缺了拢于一点的锋利力量"
"力荐","2018-05-04","28","十年来最好的华语片之一"
"推荐","2018-11-23","28","曹保平说，其实狗十三也是犯罪片，内在气质与犯罪片是一致的。虽是男导演，但对青春期少女的微妙内心把握非常准确。青春是一段很私密的经历，我不知道别人怎样，至少我觉得这是最感同身受的一部。我也想说：遗弃孩子的宠物，以及你的狐朋酒友在饭桌上请你的孩子吃这种宠物的肉，真的是犯罪。英文片名叫《爱因斯坦与爱因斯坦》，电影也分为前后两大块，随着狗狗被调包，少女的青春也在悄悄发生着变化。大人永远无法理解两只爱因斯坦有什么区别，也不会意识到换一个妈妈会有怎样不同。曹导说如果站在孩子角度看，父亲非常讨厌；但如果站在父亲角度看，她也是个非常讨厌的孩子。这就是中国家庭的原生矛盾，有什么办法呢？没有办法，无解题。影片有很多发散的细节，彼此呼应，最终又似乎连缀在一起。聂鑫去世都有四年了，可见这部电影真的是等待太久了。"
